"Elements,Bubble",Quick,Counting(3),Counting(10),Radix(10)
225,0.00922894477844,0.000598573684692,0.000130605697632,0.0682919502258,0.0741291999817
230,0.00991158485413,0.000673532485962,0.000133228302002,0.0682865619659,0.0742584705353
235,0.0104026317596,0.000649976730347,0.000132608413696,0.0683114051819,0.0743939399719
240,0.0108829975128,0.000678634643555,0.000140428543091,0.0685622215271,0.0740816116333
245,0.0111218929291,0.000663328170776,0.000136423110962,0.0683279514313,0.0739946365356
250,0.0113980293274,0.000667524337769,0.000136375427246,0.068616437912,0.0742861270905
255,0.012318944931,0.000680446624756,0.000136041641235,0.0681631565094,0.0742426395416
260,0.012627363205,0.00070333480835,0.000137996673584,0.068187046051,0.0747894287109
265,0.0129424095154,0.000753974914551,0.000139379501343,0.0681364059448,0.0739792346954
270,0.0142540931702,0.000731992721558,0.000142812728882,0.0681807518005,0.0742045879364
275,0.0143737792969,0.000753974914551,0.00014123916626,0.0682495117188,0.0742367744446
280,0.014842414856,0.000743627548218,0.000144624710083,0.0682786941528,0.0741375923157
285,0.0146991729736,0.000765037536621,0.000147008895874,0.0682635307312,0.074335193634
290,0.0158466339111,0.00081000328064,0.000145149230957,0.0683576107025,0.0741783618927
295,0.0162324428558,0.000804948806763,0.000146007537842,0.0686133384705,0.0740061759949
300,0.0170887947083,0.000780582427979,0.000146818161011,0.0685073852539,0.0744497776031
305,0.0176144599915,0.000879144668579,0.000148630142212,0.0684075832367,0.074155330658
310,0.0183142662048,0.000784015655518,0.000154161453247,0.0684688091278,0.0740376472473
315,0.0188724040985,0.000826692581177,0.000153923034668,0.0684782028198,0.0741028308868
320,0.0190721511841,0.000829553604126,0.000152540206909,0.0685615539551,0.0742419242859
325,0.0200415611267,0.000847625732422,0.000153398513794,0.0685358047485,0.0740735530853
330,0.0207170009613,0.000864553451538,0.000155210494995,0.0684493541718,0.0739946365356
335,0.0209592342377,0.000870275497437,0.000155544281006,0.0684225559235,0.074134016037
340,0.0217526912689,0.000891828536987,0.000157070159912,0.068718624115,0.0741790294647
345,0.0223087787628,0.000878524780273,0.000158834457397,0.0689161777496,0.0740645885468
350,0.0236696720123,0.000861835479736,0.000159645080566,0.0686058044434,0.0742822170258
355,0.0235981464386,0.000918769836426,0.000167417526245,0.0686012268066,0.0741899013519
360,0.0244257926941,0.000908517837524,0.000169515609741,0.0686556339264,0.0738681316376
365,0.0249687671661,0.000931024551392,0.000166606903076,0.0687131404877,0.0741722106934
370,0.0258722305298,0.00094199180603,0.000165414810181,0.0686274528503,0.0741720199585
375,0.0268951892853,0.000938606262207,0.000165557861328,0.0687892436981,0.0740699291229
380,0.0272265911102,0.000950193405151,0.000166130065918,0.0687935829163,0.0740776538849
385,0.0279399871826,0.000964021682739,0.000169849395752,0.0689279556274,0.073922252655
390,0.0288665771484,0.000960969924927,0.000169992446899,0.0685999393463,0.0742039680481
395,0.0295261859894,0.000986528396606,0.000171804428101,0.0688988208771,0.0740751743317
400,0.0307484149933,0.000958013534546,0.000172662734985,0.0688126087189,0.0741492271423
405,0.0308278083801,0.000973558425903,0.000172805786133,0.0688990116119,0.0741687297821
410,0.0318234443665,0.0010265827179,0.000174379348755,0.0689069747925,0.0739698410034
415,0.0328494548798,0.00099720954895,0.000178241729736,0.068921995163,0.0741552352905
420,0.0336626052856,0.00104537010193,0.000180435180664,0.0690877914429,0.0741664409637
425,0.0343242645264,0.0010383605957,0.000178480148315,0.0691295146942,0.074528837204
430,0.03589220047,0.00107860565186,0.000178527832031,0.0689427852631,0.0742183208466
435,0.0359535217285,0.00106301307678,0.000180196762085,0.0690972328186,0.0741191864014
440,0.036884021759,0.00106887817383,0.000181007385254,0.0689810752869,0.0739518642426
445,0.0373471736908,0.00105261802673,0.000184392929077,0.0690780162811,0.0740841388702
450,0.0379778385162,0.00110855102539,0.000193214416504,0.0691649436951,0.0741285800934
455,0.039762544632,0.00114040374756,0.000185823440552,0.0695995807648,0.0741901874542
460,0.0394462108612,0.0011146068573,0.00018744468689,0.0693724155426,0.0739841938019
465,0.0408112049103,0.00112042427063,0.000191640853882,0.0694462299347,0.0741745948792
470,0.042004442215,0.00110268592834,0.000190830230713,0.0693004131317,0.0741320133209
475,0.0429495811462,0.00111536979675,0.000194931030273,0.0692265987396,0.0740624427795
480,0.0430578231812,0.00111093521118,0.000190782546997,0.0691662311554,0.0739882469177
485,0.0447332382202,0.00113410949707,0.000193405151367,0.0690994262695,0.0744356155396
490,0.0454145431519,0.00114336013794,0.00019416809082,0.0691732883453,0.0740247249603
495,0.046802520752,0.00115022659302,0.000195646286011,0.0695717811584,0.0741944313049
500,0.0477519989014,0.00116763114929,0.000199604034424,0.0691370010376,0.0741025924683
505,0.0481944561005,0.00119199752808,0.000200605392456,0.0694757461548,0.0742770195007
510,0.0495704174042,0.00121684074402,0.000199604034424,0.0692715167999,0.074489736557
